iter	Passed	Remaining
663	5694	2881
664	5703	2873
665	5711	2864
666	5719	2855
667	5727	2846
668	5737	2838
669	5746	2830
670	5754	2821
671	5763	2812
672	5771	2804
673	5781	2796
674	5789	2787
675	5798	2779
676	5807	2770
677	5815	2761
678	5823	2753
679	5832	2744
680	5840	2735
681	5849	2727
682	5857	2718
683	5865	2709
684	5874	2701
685	5882	2692
686	5891	2684
687	5900	2675
688	5908	2667
689	5917	2658
690	5925	2649
691	5934	2641
692	5942	2632
693	5951	2623
694	5959	2615
695	5968	2607
696	5977	2598
697	5985	2589
698	5994	2581
699	6003	2573
700	6012	2564
701	6020	2555
702	6028	2546
703	6036	2538
704	6045	2529
705	6054	2521
706	6072	2516
707	6083	2508
708	6092	2500
709	6103	2492
710	6112	2484
711	6121	2476
712	6130	2467
713	6138	2458
714	6146	2450
715	6154	2441
716	6162	2432
717	6170	2423
718	6178	2414
719	6186	2406
720	6195	2397
721	6203	2388
722	6212	2380
723	6220	2371
724	6229	2363
725	6238	2354
726	6246	2345
727	6255	2337
728	6264	2328
729	6272	2320
730	6281	2311
731	6289	2302
732	6298	2294
733	6307	2285
734	6315	2277
735	6324	2268
736	6332	2259
737	6340	2250
738	6348	2242
739	6356	2233
740	6364	2224
741	6372	2215
742	6380	2207
743	6389	2198
744	6397	2189
745	6406	2181
746	6414	2172
747	6422	2163
748	6431	2155
749	6439	2146
750	6447	2137
751	6456	2129
752	6464	2120
753	6472	2111
754	6480	2103
755	6490	2094
756	6498	2086
757	6506	2077
758	6514	2068
759	6522	2059
760	6530	2051
761	6538	2042
762	6547	2033
763	6555	2024
764	6563	2016
765	6571	2007
766	6579	1998
767	6588	1990
768	6596	1981
769	6604	1972
770	6612	1964
771	6620	1955
772	6628	1946
773	6637	1937
774	6645	1929
775	6654	1920
776	6663	1912
777	6671	1903
778	6680	1895
779	6689	1886
780	6698	1878
781	6706	1869
782	6715	1861
783	6724	1852
784	6732	1843
785	6741	1835
786	6749	1826
787	6758	1818
788	6767	1809
789	6775	1801
790	6784	1792
791	6793	1784
792	6802	1775
793	6810	1767
794	6819	1758
795	6827	1749
796	6836	1741
797	6845	1732
798	6854	1724
